idx,x,y,hlen,hcod
0,0,0,4,1001
1,0,1,3,110
2,0,2,5,10000
3,0,3,7,100001
4,0,4,8,101001
5,0,5,9,100111
6,0,6,9,100110
7,0,7,9,11010
8,1,0,3,111
9,1,1,3,101
10,1,2,4,110
11,1,3,5,1001
12,1,4,7,10111
13,1,5,7,10000
14,1,6,8,11010
15,1,7,8,1011
16,2,0,5,10001
17,2,1,4,111
18,2,2,5,1011
19,2,3,6,1110
20,2,4,7,10101
21,2,5,8,11110
22,2,6,7,1010
23,2,7,8,111
24,3,0,6,10001
25,3,1,5,1010
26,3,2,6,1111
27,3,3,6,1100
28,3,4,7,10010
29,3,5,8,11100
30,3,6,8,1110
31,3,7,8,101
32,4,0,7,100000
33,4,1,6,1101
34,4,2,7,10110
35,4,3,7,10011
36,4,4,8,10010
37,4,5,8,10000
38,4,6,8,1001
39,4,7,9,101
40,5,0,8,101000
41,5,1,7,10001
42,5,2,8,11111
43,5,3,8,11101
44,5,4,8,10001
45,5,5,9,1101
46,5,6,8,100
47,5,7,9,10
48,6,0,8,11011
49,6,1,7,1100
50,6,2,7,1011
51,6,3,8,1111
52,6,4,8,1010
53,6,5,9,111
54,6,6,9,100
55,6,7,10,1
56,7,0,9,11011
57,7,1,8,1100
58,7,2,8,1000
59,7,3,9,1100
60,7,4,9,110
61,7,5,9,11
62,7,6,9,1
63,7,7,10,0
